IBM
Call: ibm -r -g 4213 
Seed: 123
Date: Fri Nov 02 10:17:32 2018
Version: 2018-11-01 09:04:42 UTC (rev. aebc669)
Environment: machine:DESKTOP-D3MBM6L, user:Dell User, os:Windows_NT, pid:8288

*initialisation_partition[init_1]
ewuilibrium_shortcut: 1969
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
7-6 729 622 540 411 375 328 257 232 199 175 159 159 120 87 81 70 58 58 43 39 258
7-7 676 600 530 417 398 312 311 238 206 176 159 138 94 104 82 77 67 54 40 50 271
7-8 677 585 543 465 359 318 273 248 217 200 144 139 95 91 86 79 67 58 38 41 277
7-9 707 639 505 471 400 317 271 232 205 170 145 122 105 109 71 74 53 58 41 39 266
7-10 687 588 507 450 366 367 276 247 205 179 145 130 110 104 72 86 67 65 47 56 246
8-1 717 603 497 445 358 355 237 237 201 173 166 148 144 118 81 86 73 52 50 24 235
8-2 657 622 510 436 384 364 272 261 209 192 148 138 99 92 75 87 58 45 55 42 254
8-3 628 599 543 477 365 329 277 258 218 182 158 122 123 88 90 81 60 59 48 49 246
8-4 695 601 523 463 380 312 284 266 209 183 144 110 111 94 89 74 61 59 43 48 251
8-5 698 600 496 411 413 341 294 239 195 174 142 119 111 115 91 67 64 56 51 40 283
8-6 711 599 510 461 410 318 270 241 215 182 162 127 123 93 71 65 57 65 58 33 229
8-7 663 585 528 478 397 335 280 252 204 193 154 141 123 89 73 78 60 46 36 31 254
8-8 708 632 488 417 394 298 276 250 220 198 164 117 130 95 73 78 61 44 44 43 270
8-9 690 585 508 432 398 293 270 271 216 210 156 139 122 103 72 101 58 44 53 42 237
8-10 708 614 548 423 384 330 286 231 198 172 123 126 118 104 70 86 66 51 44 35 283
9-1 685 575 496 415 392 326 300 284 201 195 150 137 127 101 67 82 64 48 52 49 254
9-2 700 560 494 414 386 346 312 271 214 194 165 118 117 99 101 72 66 47 42 46 236
9-3 686 580 547 470 377 311 284 232 200 155 153 140 132 99 88 78 62 55 44 40 267
9-4 737 577 530 423 363 332 300 225 192 175 161 127 126 102 91 73 61 53 54 40 258
9-5 719 619 491 431 398 335 301 254 204 164 134 121 116 97 93 81 58 75 32 47 230
9-6 660 586 524 455 377 305 296 267 185 192 167 145 105 101 87 89 53 57 43 49 257
9-7 737 617 514 448 366 317 289 230 222 183 143 145 83 87 88 77 66 53 59 41 235
9-8 732 588 515 455 362 330 329 229 206 159 134 138 110 101 84 88 71 54 40 46 229
9-9 694 612 534 449 349 333 279 252 207 191 163 133 105 91 79 77 67 56 59 35 235
9-10 729 569 510 386 396 340 283 265 212 196 126 152 112 85 107 66 67 58 44 38 259
10-1 687 584 556 422 388 337 283 269 232 170 138 136 120 88 86 64 47 57 42 46 248
10-2 700 607 521 443 412 320 265 244 214 194 157 143 107 95 84 74 52 48 55 31 234
10-3 698 599 522 421 393 307 278 264 212 183 153 127 122 97 96 84 52 58 42 38 254
10-4 685 620 538 421 401 333 281 219 230 181 161 128 110 108 89 68 61 54 43 36 233
10-5 664 596 506 429 383 329 290 254 231 205 143 123 119 113 87 78 57 53 52 44 244
10-6 685 596 530 435 406 291 303 251 220 171 154 132 126 98 88 83 52 51 50 35 243
10-7 707 593 494 452 404 328 282 227 209 185 149 116 113 108 102 74 59 73 47 41 237
10-8 711 606 508 477 375 324 269 208 210 187 156 137 111 98 83 72 50 52 54 45 267
10-9 712 600 544 461 379 346 276 243 209 173 147 124 104 101 91 63 64 48 44 38 233
10-10 689 585 557 410 408 333 277 255 194 176 152 144 124 106 82 65 73 54 48 38 230
*end

*initialisation_partition[init_2]
year: 1989
values {d}
