IBM
Call: ibm -r -g 123 
Seed: 123
Date: Wed Oct 31 19:12:19 2018
Version: 2018-10-30 07:48:53 UTC (rev. 576a241)
Environment: machine:DESKTOP-D3MBM6L, user:Dell User, os:Windows_NT, pid:1144

*initialisation_partition[init_1]
ewuilibrium_shortcut: 1949
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1-1 1318 1190 1097 912 794 599 549 531 400 382 297 256 231 194 158 146 135 115 107 76 513
1-2 1410 1217 1041 946 747 637 584 452 404 346 327 262 221 204 129 160 123 123 93 68 506
1-3 1406 1184 1029 919 749 673 552 496 431 389 299 263 212 210 164 140 124 97 86 90 487
1-4 1401 1180 1085 836 776 621 575 468 462 382 302 253 255 205 149 129 104 119 103 86 509
1-5 1414 1159 1035 892 744 713 547 531 394 357 275 269 232 194 156 143 130 107 100 99 509
1-6 1398 1170 978 904 734 694 566 530 438 369 298 268 236 208 147 166 140 115 89 73 479
1-7 1406 1182 1018 904 793 666 576 462 430 379 338 238 213 214 147 154 132 91 81 73 503
1-8 1449 1201 1036 881 771 638 583 497 414 372 315 253 227 199 162 125 117 117 93 77 473
1-9 1383 1172 1043 896 761 666 603 490 426 310 314 259 244 195 187 137 124 120 94 85 491
1-10 1355 1195 1018 894 789 655 628 504 436 340 285 252 240 174 188 163 121 107 76 81 499
2-1 1378 1221 1007 837 781 635 546 523 429 361 302 291 231 197 154 139 136 125 84 72 551
2-2 1332 1223 1067 911 811 619 546 475 434 348 309 247 233 200 180 153 126 113 111 72 490
2-3 1379 1187 1034 937 789 652 527 495 436 346 294 289 243 192 183 152 110 96 101 89 469
2-4 1380 1137 1029 919 744 647 577 474 452 362 311 292 233 188 157 155 150 99 97 76 521
2-5 1434 1199 1034 867 732 719 556 480 386 358 311 236 214 206 187 161 112 111 106 108 483
2-6 1385 1252 1057 888 784 616 553 463 443 347 316 267 225 205 156 157 130 112 107 71 466
