IBM
Call: ibm -r 
Seed: 123
Date: Thu Oct 31 14:18:39 2019
Version: 2019-10-07 02:58:21 UTC (rev. 2006f9b)
Environment: machine:DESKTOP-D3MBM6L, user:Dell User, os:Windows_NT, pid:14088

*initialisation_partition[init_1]
equilibrium_shortcut: 1949
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2-4 297191 251232 218457 186073 168968 155779 117912 102503 82916.7 80044 67247.3 60587.9 52753.2 43612.7 36822.6 26637.6 27029.4 25854.2 23112.1 15930.4 108771
2-5 245356 214539 185551 164006 140502 112689 100414 87878.7 77171.3 64374.6 60065.5 48966.4 39825.9 34211.1 30816.1 29249.2 23373.2 21414.6 16191.5 13841.1 91143.1
2-6 84875.4 68683.7 59151.5 49619.3 42568.1 39564.8 31599.5 29118.6 24156.7 23503.8 15799.8 16713.8 13449.4 13318.8 10968.5 8618.06 7312.29 6528.83 4570.18 5614.8 26115.3
2-7 46485.4 42045.8 34733.4 28074 27943.4 20892.3 20761.7 15669.2 15146.9 13710.6 8618.06 8095.75 7312.29 6920.56 5875.95 4047.88 3394.99 4178.45 2219.8 2611.53 15930.4
2-8 27290.5 23765 23373.2 19325.4 16322.1 15146.9 11490.8 9662.68 7965.18 4439.61 7181.72 4700.76 5875.95 3394.99 3786.72 3394.99 2611.53 2089.23 1958.65 1175.19 9662.68
2-9 18280.8 15016.3 15146.9 13710.6 8226.33 8618.06 8487.48 4961.91 6267.68 5484.22 4700.76 3917.3 3264.42 1436.34 1828.07 2611.53 1828.07 1436.34 391.73 783.46 5614.8
2-10 12666 10054.4 11099 6920.56 6267.68 6006.53 6398.26 4570.18 4309.03 4047.88 3133.84 2350.38 1436.34 1958.65 1566.92 914.037 1175.19 1044.61 522.307 1044.61 4831.34
3-1 498519 411433 353855 315209 264812 220938 197564 180720 146117 130578 109424 91273.7 82133.2 69467.2 59020.9 50272.2 45179.6 37344.9 31207.8 26376.5 174974
3-2 856652 763691 645401 563016 487943 410519 345630 312467 261548 226553 203832 174844 136062 128880 104593 94146.4 83439 70381.2 58498.6 50533.3 305417
3-3 410389 351505 290402 263506 226030 198348 168576 141807 122743 106160 91143.1 83047.3 68683.7 56148.2 51055.6 47007.7 36039.2 31207.8 31338.4 21806.3 147553
3-4 325132 281263 251493 207749 178761 158521 130708 114255 101589 88923.3 69206 66202.7 57323.4 47007.7 40087.1 35516.9 29771.5 22067.5 20108.8 13841.1 120001
3-5 247837 205660 186073 161394 135801 113080 97019.1 94407.6 75996.1 61763.1 56148.2 48705.2 40740 35647.4 31860.7 29510.3 23765 20239.4 21022.9 12927.1 89967.9
3-6 77693.6 64244 60718.4 53928.4 37344.9 37736.7 32383 30424.3 21022.9 19064.2 15930.4 13580 11882.5 9662.68 9270.95 8879.22 7573.45 5745.37 4961.91 4178.45 28726.8
3-7 41915.2 44918.5 36430.9 26637.6 21936.9 21022.9 19194.8 17889 11751.9 11360.2 11621.3 8356.91 6920.56 6267.68 5875.95 6528.83 3917.3 3917.3 3525.57 1305.77 14102.3
3-8 27290.5 23765 19194.8 16975 16844.4 15277.5 10054.4 11751.9 8748.64 7834.6 4570.18 4961.91 4309.03 3264.42 3394.99 4439.61 3525.57 1436.34 2089.23 1828.07 11751.9
3-9 19455.9 15799.8 14232.9 12274.2 11882.5 8226.33 7312.29 5614.8 6920.56 5875.95 4570.18 4831.34 3003.26 2219.8 2872.69 1305.77 1566.92 1566.92 1175.19 652.884 6659.41
3-10 11490.8 11882.5 9923.83 7312.29 8356.91 5745.37 5745.37 3917.3 3786.72 4178.45 2872.69 2350.38 1436.34 1958.65 2350.38 1697.5 522.307 1044.61 914.037 652.884 5092.49
4-1 609497 529070 454519 387671 330485 290924 257891 222635 196389 158913 142069 114778 108902 85006 74690.3 68814.3 56801.1 47921.8 40087.1 35255.7 224855
4-2 623075 537296 476062 403730 343019 303719 253452 223158 186596 169098 149381 118303 104984 85267.1 79260.5 65549.8 55887 46746.6 43482.1 35255.7 223810
4-3 496430 432585 375659 318342 275648 240133 204746 172754 156693 124571 117389 93493.5 84744.8 70511.8 60587.9 53797.8 46093.7 36561.5 35778 26376.5 175497
4-4 383885 319126 267423 244311 194300 176933 149903 128097 114517 92840.6 83047.3 74168 63068.8 53014.3 42698.6 39173 36300.3 29510.3 23895.5 19978.2 137498
